value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.935;False;log_loss;60;;170;0.008330802;0.695446956;351;1;0
0.935;False;gini;35;sqrt;477;0.000990402;0.157531381;889;1;0
0.935;False;entropy;87;log2;409;0.151697526;0.000338996;621;1;0
0.935;False;entropy;89;;778;0.135006745;0.000261527;708;1;0
0.935;False;entropy;19;log2;459;0.000150706;0.101203878;253;1;0
0.935;True;log_loss;62;log2;944;0.001977154;0.005980515;80;1;0
0.935;False;entropy;85;;100;0.021003132;0.177040108;587;1;0
0.935;True;gini;5;log2;62;0.000163227;0.000406371;259;1;0
0.935;True;entropy;54;;63;0.064884583;0.000684802;535;1;0
0.935;False;log_loss;59;sqrt;502;0.005425269;0.260712495;278;1;0
0.935;True;entropy;8;sqrt;302;0.000210884;0.000151336;194;1;0
0.935;False;log_loss;15;log2;297;0.238099032;0.014189551;780;1;0
0.935;True;entropy;47;sqrt;499;0.033415356;0.00426626;365;1;0
0.925;True;entropy;82;sqrt;606;0.00022672;0.00035662;792;1;0
0.935;True;log_loss;98;sqrt;149;0.038774537;0.027418629;479;1;0
0.935;True;entropy;80;log2;368;0.000287503;0.076037856;851;1;0
0.935;True;entropy;78;sqrt;231;0.008996834;0.10004818;992;1;0
0.935;True;gini;60;;41;0.21471115;0.057078098;758;1;0
0.935;False;log_loss;74;;879;0.463238717;0.001060728;795;1;0
0.935;False;gini;69;;649;0.232404986;0.002402352;179;1;0
0.935;False;log_loss;80;log2;17;0.00148784;0.000199445;136;1;0
0.935;False;gini;56;;342;0.000359288;0.316081377;764;1;0
0.935;True;gini;11;sqrt;231;0.004339681;0.066222019;215;1;0
0.935;False;entropy;60;sqrt;670;0.126950832;0.058956784;238;1;0
0.935;True;gini;93;log2;954;0.004043044;0.103126387;782;1;0
0.925;False;gini;56;sqrt;921;0.001548346;0.006055635;390;1;0
